"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.49061476881195,4530,9259,55128304.6654603,112365766.727643
"race_eth","Asian (NH)",0.370744536275846,287,750,3264309.18797798,8804739.83721564
"race_eth","Black (NH)",0.576545359174034,465,835,8182809.45320431,14192828.5832135
"race_eth","Hispanic",0.662904673923196,1402,2045,15510903.3036406,23398391.8258475
"race_eth","Other (NH)",0.547638594019606,142,269,1594416.21378397,2911438.73203152
"race_eth","White (NH)",0.421448690402132,2234,5360,26575866.5068535,63058367.7493354
