"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.706975851565751,1744,2516,20956453.5590308,29642389.4997519
"worker_class","Government",0.571669517880627,136,243,1672080.18970497,2924907.02653509
"worker_class","Private",0.716162942685678,1313,1878,16105021.4429266,22487929.0494022
"worker_class","Self-employed",0.751699200321654,295,395,3179351.92639918,4229553.42381465
"race_eth","Asian (NH)",0.710104555523645,95,132,922235.06132247,1298731.36871006
"race_eth","Black (NH)",0.763105537726751,244,332,4038347.26340071,5291990.50950504
"race_eth","Hispanic",0.814420926950183,590,732,6449982.13761647,7919715.62146635
"race_eth","Other (NH)",0.736854116666239,53,79,638622.516002427,866687.857959941
"race_eth","White (NH)",0.624402499102332,762,1241,8907266.58068868,14265264.1421105
