"decile","income_te_B","payroll_te_B","total_te_B","income_share","payroll_share","total_share","pct_benefiting","mean_te_benef"
1,-0.251376472518283,0.170836593372916,-0.0805398791453663,-0.0019488222467071,0.00456855836431825,-0.000484063439341151,0.00863677038149188,877.328994212255
2,0.463051027062029,0.48351039280045,0.946561419862478,0.00358985124526092,0.0129301656375307,0.0056890546808405,0.0423231280365938,1001.51622580239
3,1.5426960322918,0.918344360818011,2.46104039310981,0.0119599114329142,0.0245586131642259,0.0147914261815077,0.0853715450035109,936.725787284193
4,2.23764318311891,1.35731629346244,3.59495947658135,0.0173475614951892,0.0362977192596393,0.0216065440747083,0.126888388158708,925.238552815147
5,3.9242112441318,3.45919421864493,7.38340546277673,0.0304228557936583,0.0925067069611624,0.0443759871542789,0.188353913489752,1478.39555310458
6,7.31970726618215,3.15404062042203,10.4737478866042,0.0567467918409982,0.0843462069415918,0.0629496651668793,0.22223900138609,1494.3000385568
7,13.513134863732,4.72673241613563,18.2398672798677,0.104761983416244,0.126403556107518,0.109625852215186,0.269471974638095,2069.83094877495
8,19.833940757375,6.47556851508698,26.3095092724619,0.153764688479475,0.173171403849865,0.158126280805806,0.317994889262246,2508.9091497305
9,29.7701467843155,8.06136379234873,37.8315105766642,0.230796159082829,0.215579169861776,0.227376193254007,0.373045005259063,3087.72542703643
10,50.6357630788871,8.58707570127424,59.2228387801614,0.392559019460138,0.229637899852373,0.355943059906128,0.389394061218264,4799.53803926433
