"decile","income_te_B","payroll_te_B","total_te_B","income_share","payroll_share","total_share","pct_benefiting","mean_te_benef"
1,-1.17623305956756,0.194602878820443,-0.981630180747116,-0.0041614369190112,0.00265114794412057,-0.00275697033044279,0.00750467855013946,1366.89361403336
2,0.54971947680808,0.658499929246364,1.20821940605444,0.00194487215546357,0.00897099130396648,0.00339336047371942,0.0481444640703185,1569.09915163966
3,3.84160036705174,1.79156895358616,5.6331693206379,0.0135913350381544,0.024407215231552,0.0158211116446512,0.0981701851740956,1875.24784056431
4,6.08368222612066,2.64508583893681,8.72876806505747,0.0215236764630799,0.0360349956096491,0.0245152961356223,0.143559741047011,1866.53603462163
5,7.94711336013149,5.95421037891725,13.9013237390487,0.0281163759744833,0.0811164392870716,0.0390427452762995,0.218259003692439,2566.67786611019
6,16.5324888706086,6.89037940335974,23.4228682739683,0.0584908823890616,0.0938702207292778,0.0657846041734899,0.267515567527898,2844.43467286273
7,29.5017146115323,9.84036722107057,39.3420818326029,0.104375168985387,0.134059010255464,0.110494720392344,0.311308495206606,3860.26791736906
8,45.6447405569342,14.3537775156467,59.998518072581,0.161488156592153,0.195546890064677,0.16850962556056,0.364439081216408,4962.16653807611
9,64.2775539285363,16.3643542635978,80.6419081921341,0.227409851989949,0.222937730550369,0.226487889875994,0.427214209649532,5708.36801637084
10,109.448319999036,14.7104049336722,124.158724932708,0.387221117331279,0.200405359023852,0.348707616797763,0.455101598577154,8321.64742057981
