"quintile","sipp_income_share","sipp_payroll_share","cbo2019_income_share","cbo2019_payroll_share","sipp_cbo_comparable_income","sipp_cbo_comparable_payroll"
1,0.00164102899855382,0.017498724001849,0.007,0.029,0.00167869125182341,0.011622139248087
2,0.0293074729281033,0.0608563324238652,0.038,0.067,0.0326811769682955,0.0604422108412011
3,0.0871696476346565,0.176852913902754,0.089,0.15,0.0951940920385045,0.174986660016349
4,0.258526671895719,0.299574959957383,0.24,0.3,0.265492451772939,0.329605900320142
5,0.623355178542967,0.445217069714149,0.63,0.45,0.604953587968438,0.423343089574221
