earn_decile,share,n_num,n_den
1,0.0129213815408733,11,634
2,0.02036292362781,18,816
3,0.0393153174519019,31,847
4,0.0495911908060624,37,693
5,0.0841158280013603,40,562
6,0.137702682317168,70,543
7,0.176055097817637,71,428
8,0.216220708907883,71,361
9,0.203137842622307,69,309
10,0.349087179572034,88,255
